RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr19_17758791	0.5	0.6	0.73	0.79	0.64	0.5	0.72	0.67	0.87
chr19_17759388	0.61	0.35	0.36	0.35	0.36	0.31	0.16	0.38	0.62
chr19_17759403	0.18	0.29	0.53	0.44	0.53	0.33	0.47	0.385	0.32
chr19_17759423	0.34	0.2	0.24	0.36	0.35	0.78	0.55	0.355	0.37
chr19_17759475	0.34	0.15	0.34	0.22	0.35	0.34	0.41	0.25	0.35
chr19_17760833	0.333	0.438	0.346	0.333	0.2	0.346	0.765	0.636	0.346
chr19_17768463	0.43	0.71	0.56	0.48	0.6	0.75	0.52	0.5	0.81
chr19_17768478	0.25	0.17	0.22	0.31	0.33	0.75	0.43	0.43	0.71
chr19_17768506	0.35	0.35	0.71	0.46	0.46	0.35	0.32	0.35	0.2
chr19_17768530	0.333	0.3	0.231	0.24	0.3	0.3	0.176	0.375	0.4
chr19_17768614	0.2	0.41	0.45	0.21	0.24	0.29	0.5	0.34	0.19
chr19_17776825	0.148	0.174	0.2	0.125	0.121	0.174	0.333	0.174	0.191
chr19_17776829	1	1	1	1	1	0.94	0.88	0.9	1
chr19_17776898	0.152	0.25	0.267	0.25	0.154	0.3	0.692	0.25	0.167
chr19_17776924	0.267	0.12	0.267	0.211	0.075	0.2305	0.25	0.273	0.14
chr19_17776932	0.81	0.77	1	0.75	0.87	0.71	1	0.75	0.62
chr19_17776937	0.32	0.32	0.94	0.6	0.61	0.67	1	0.56	0.64
chr19_17777303	0.16	0.34	0.175	0.17	0.18	0.5	0.14	0.12	0.24
chr19_17777308	0.229	0.52	0.2615	0.444	0.29	0.25	0.238	0.273	0.184
chr19_17777322	0.21	0.34	0.36	0.48	0.5	0.44	0.29	0.37	0.35
chr19_17777355	0.324	0.417	0.324	0.429	0.394	0.324	0.176	0.286	0.208
chr19_17777405	1	1	1	0.5	1	1	1	1	0.65
chr19_18011610	0.36	0.36	0.32	0.46	0.42	0.44	0.27	0.18	0.36
chr19_18011611	0.48	0.16	0.37	0.31	0.61	0.44	0.62	0.42	0.83
chr19_18100394	0.24	0.18	0.06	0.11	0.15	0.21	0.1	0.165	0.32
chr19_18108173	0.8	0.36	0.44	0.93	0.38	0.71	0.78	0.33	0.68
chr19_18134159	0.38	0.48	0.44	0.27	0.79	0.74	0.74	0.28	0.83
chr19_18280053	0.07	0.13	0.13	0.16	0.13	0.12	0.13	0.19	0.13
chr19_18280264	0.51	0.71	0.65	0.46	0.25	0.78	0.58	0.39	0.88
chr19_18542483	1	1	1	1	1	1	1	1	1
chr19_18561139	0.31	0.4	0.4	0.56	0.415	1	0.43	0.44	0.29
chr19_18561498	0.85	0.77	0.8	0.92	0.79	0.87	0.78	0.82	0.46
chr19_18561503	0.43	0.2	0.46	0.48	0.33	0.62	0.22	0.3	0.33
chr19_18561504	0.46	0.38	0.27	0.74	0.38	0.33	0.31	0.47	0.38
chr19_18722460	0.4	0.39	0.83	0.77	0.38	0.22	0.44	0.38	0.47
chr19_18874972	0.148	0.148	0.143	0.105	0.286	0.15	0.161	0.148	0.088
chr19_18875000	0.15	0.17	0.19	0.27	0.21	0.37	0.4	0.24	0.39
chr19_18875005	0.18	0.17	0.25	0.38	0.23	0.5	0.14	0.29	0.21
chr19_18875013	0.13	0.43	0.27	0.35	0.28	0.22	0.41	0.43	0.24
chr19_18875017	0.27	0.57	0.27	0.47	0.47	0.33	0.5	0.43	0.24
chr19_18875032	0.09	0.31	0.43	0.4	0.33	0.44	0.6	0.38	0.36
chr19_18875047	0.188	0.318	0.389	0.455	0.538	0.4	0.389	0.389	0.3
chr19_18876466	0.39	0.19	0.32	0.3	0.53	0.38	0.35	0.5	0.42
chr19_18876604	0.33	0.16	0.14	0.09	0.08	0.16	0.28	0.07	0.18
chr19_18876636	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.06	0.14
chr19_18876657	0.17	0.1	0.1	0.1	0.1	0.1	0.08	0.1	0.06
chr19_18876658	0	0	0	0	0	0	0.065	0.067	0.077
chr19_18881850	0.09	0.09	0.09	0.12	0.09	0.09	0.09	0.09	0.09
chr19_18881906	0.07	0.14	0.219	0.116	0.094	0.129	0.186	0.25	0.151
chr19_18881948	0.094	0.136	0.233	0.237	0.2	0.2	0.212	0.158	0.2
chr19_18882963	0.55	0.6	0.36	0.55	0.4	0.57	0.48	0.55	0.87
chr19_18882964	0.63	0.3	0.85	0.59	0.62	0.38	0.57	0.59	0.59
chr19_18883083	0.25	0.235	0.25	0.455	0.25	0.455	0.211	0.3	0.25
chr19_18909630	0.19	0.27	0.27	0.36	0.5	0.23	0.3	0.27	0.17
chr19_19173719	0.5	0.467	0.4	0.353	0.467	0.4	0.5	0.588	0.467
chr19_19173741	0.29	0.53	0.56	0.5	0.57	0.62	0.28	0.63	0.38
chr19_19178838	0.72	1	0.5	0.57	0.45	0.585	0.54	0.6	0.92
chr19_19322493	0.33	0.7	0.435	0.64	0.35	0.38	0.8	0.4	0.47
chr19_19331670	0.5	0.45	0.44	0.27	0.31	0.33	0.31	0.385	0.62
chr19_19331671	0.42	0.4	0.41	0.2	0.29	0.32	0.17	0.36	0.65
chr19_19346227	1	1	1	1	1	1	1	1	1
chr19_19405923	1	1	1	1	1	1	1	1	1
chr19_19711016	0.4	1	0.545	0.435	0.429	0.7	1	0.455	0.5
chr19_19714151	0.07	0.06	0.1	0.06	0.07	0.07	0.07	0.07	0.12
chr19_19725076	1	1	1	0.39	1	1	1	1	1
chr19_19786282	0.091	0.102	0.091	0.071	0.114	0.103	0.189	0.102	0.102
chr19_19786802	0.062	0.115	0.077	0.106	0.068	0.152	0.106	0.081	0.143
chr19_19786831	0.059	0.204	0.13	0.125	0.189	0.139	0.157	0.111	0.302
chr19_19789691	0.13	0.31	0.27	0.37	0.19	0.2	0.11	0.24	0.31
chr19_19789726	0.07	0.13	0.21	0.23	0.22	0.34	0.2	0.16	0.23
chr19_19789727	0.47	0.31	0.51	0.49	0.43	0.52	0.56	0.47	0.54
chr19_19789755	0.075	0.058	0.125	0.075	0.075	0.25	0.161	0.065	0.06
chr19_19789764	0.22	0.29	0.25	0.32	0.09	0.38	0.37	0.35	0.24
chr19_19789767	0.077	0.135	0.077	0.07	0.067	0.088	0.098	0.074	0.077
chr19_19789770	0.11	0.33	0.29	0.19	0.29	0.4	0.31	0.29	0.29
chr19_19789787	0.538	0.265	0.13	0.308	0.292	0.292	0.186	0.088	0.188
chr19_19789796	0.82	0.62	0.81	0.62	0.45	0.79	0.7	0.77	0.82
chr19_19789797	0.5	0.47	0.52	0.38	0.47	0.47	0.54	0.39	0.47
chr19_19789831	0.176	0.121	0.15	0.148	0.125	0.167	0.116	0.148	0.148
chr19_19789861	0.167	0.29	0.333	0.188	0.167	0.263	0.297	0.167	0.2
chr19_19789862	0.125	0.129	0.294	0.2	0.1	0.316	0.263	0.2	0.2
chr19_19789865	0.35	0.53	0.38	0.47	0.19	0.35	0.52	0.15	0.56
chr19_19789904	0.51	0.38	0.33	0.42	0.47	0.57	0.44	0.34	0.31
chr19_19789939	0.2	0.235	0.2	0.333	0.156	0.303	0.167	0.083	0.2
chr19_19789944	0.705	0.62	0.45	0.91	0.71	0.74	0.71	0.47	0.7
chr19_19791107	0.222	0.222	0.25	0.3	0.214	0.391	0.222	0.174	0.118
chr19_19791111	0.28	0.605	0.457	0.522	0.312	0.458	0.375	0.407	0.314
chr19_19791117	0.185	0.419	0.639	0.591	0.543	0.708	0.519	0.536	0.324
chr19_19791120	0.393	0.643	0.595	0.35	0.629	0.708	0.667	0.552	0.528
chr19_19791122	0.481	0.452	0.595	0.35	0.486	0.36	0.5	0.607	0.4
chr19_19791123	0.423	0.5	0.526	0.5	0.343	0.542	0.667	0.519	0.344
chr19_19791124	0.55	0.55	0.33	0.61	0.61	0.29	0.43	0.57	0.55
chr19_19791125	0.33	0.13	0.29	0.29	0.28	0.41	0.29	0.33	0.29
chr19_19791126	0.12	0.4	0.74	0.42	0.32	0.46	0.44	0.37	0.41
chr19_19791129	0.43	0.42	0.62	0.46	0.1	0.31	0.1	0.33	0.375
chr19_19791714	0.357	0.35	0.312	0.375	0.143	0.556	0.364	0.409	0.333
chr19_19796049	0.44	0.57	0.7	0.65	0.74	0.68	0.65	0.62	0.65
chr19_19796065	0.324	0.356	0.571	0.449	0.52	0.68	0.5	0.405	0.379
chr19_19796139	0.25	0.163	0.125	0.176	0.175	0.175	0.175	0.158	0.366
chr19_19796142	0.2575	0.265	0.25	0.3	0.15	0.467	0.308	0.227	0.175
chr19_19796148	0.225	0.167	0.143	0.18	0.143	0.167	0.167	0.089	0.35
chr19_19796154	0.132	0.295	0.364	0.292	0.289	0.2905	0.609	0.267	0.27
chr19_19796160	0.163	0.163	0.174	0.196	0.163	0.385	0.136	0.068	0.077
chr19_19796194	0.111	0.25	0.318	0.432	0.212	0.231	0.625	0.194	0.091
chr19_19796198	0.296	0.103	0.286	0.5	0.371	0.291	0.647	0.2	0.147
chr19_19796199	0.179	0.207	0.304	0.256	0.235	0.221	0.471	0.129	0.188
chr19_19796204	0.444	0.207	0.348	0.575	0.406	0.377	0.6	0.29	0.273
chr19_19796221	0.231	0.25	0.526	0.444	0.353	0.3015	0.875	0.107	0.158
chr19_19796245	0.25	0.435	0.471	0.719	0.182	0.4175	0.875	0.111	0.4
chr19_19796501	0.304	0.333	0.435	0.333	0.212	0.6	0.45	0.333	0.118
chr19_19796532	0.48	0.57	0.3	0.45	0.22	0.47	0.4	0.17	0.45
chr19_19796542	0.15	0.404	0.529	0.5	0.379	0.429	0.5	0.25	0.136
chr19_19796568	0.722	0.736	0.75	0.5	0.645	0.917	0.75	0.75	0.688
chr19_19796571	0.588	0.539	0.562	0.455	0.516	0.5	0.308	0.636	0.571
chr19_19796573	0.15	0.232	0.375	0.455	0.167	0.25	0.214	0.455	0.214
chr19_19801666	0.25	0.25	0.5	0.429	0.7	0.4	0.4	0.4	0.308
chr19_19805986	0.12	0.14	0.09	0.06	0.09	0.09	0.09	0.07	0.18
chr19_19874362	0.12	0.11	0.2	0.3	0.25	0.35	0.12	0.25	0.21
chr19_19874368	0.182	0.107	0.143	0.143	0.312	0.538	0.115	0.136	0.143
chr19_19874381	0.33	0.12	0.4	0.59	0.53	0.67	0.64	0.5	0.515
chr19_19874403	0.36	0.42	0.52	0.3	0.57	0.71	0.62	0.52	0.43
chr19_19874473	0.13	0.14	0.35	0.15	0.12	0.36	0.46	0.43	0.39
chr19_20021310	1	1	0.556	1	1	1	0.733	0.583	1
chr19_20540526	0.49	0.52	0.53	0.31	0.42	0.42	0.63	0.46	0.76
chr19_20641644	0.25	0.42	0.46	0.62	0.69	0.35	0.73	0.42	0.4
chr19_20641827	0.4	0.308	0.25	0.4	0.308	0.364	0.25	0.308	0.308
chr19_20641828	0.37	0.53	0.48	0.4	0.38	0.38	0.21	0.29	0.38
chr19_20659325	0.211	0.15	0.294	0.2	0.107	0.2055	0.447	0.188	0.381
chr19_20659351	0.381	0.25	0.706	0.45	0.185	0.455	0.465	0.45	0.45
chr19_20659404	0.42	0.435	0.44	0.47	0.26	0.88	0.42	0.5	0.43
chr19_21085495	0.85	1	0.76	0.87	0.73	0.92	0.85	0.85	0.85
chr19_21085510	0.88	0.88	0.74	0.72	0.62	0.92	1	0.88	1
chr19_21144292	0.44	0.42	0.5	0.5	0.83	0.6	0.67	0.42	0.79
chr19_21146102	0.21	0.06	0.12	0.23	0.21	0.18	0.08	0.06	0.2
chr19_21184185	0.231	0.108	0.108	0.077	0.081	0.176	0.067	0.108	0.217
chr19_21184265	0.19	0.17	0.1	0.23	0.1	0.13	0.19	0.09	0.14
chr19_21184285	0.15	0.06	0.14	0.22	0.3	0.15	0.2	0.12	0.15
chr19_21184291	0.19	0.16	0.18	0.25	0.27	0.14	0.17	0.1	0.08
chr19_21184295	0.167	0.077	0.123	0.172	0.111	0.047	0.058	0.111	0.111
chr19_21184299	0.1	0.13	0.22	0.18	0.23	0.11	0.22	0.08	0.06
chr19_21189884	0.24	0.5	0.45	0.56	0.28	0.87	0.5	0.45	0.475
chr19_21189965	0.33	0.37	0.25	0.38	0.26	0.65	0.12	0.33	0.33
chr19_21189966	0.5	0.41	0.53	0.37	0.25	0.37	0.15	0.37	0.2
chr19_21190058	0.47	0.35	0.71	0.19	0.25	0.5	0.25	0.24	0.58
chr19_2124706	0.231	0.2	0.5	0.4	0.4	0.5	0.4	0.4	0.462
chr19_21282808	1	1	1	1	1	1	1	1	1
chr19_21283115	0.205	0.13	0.16	0.23	0.53	0.24	0.21	0.17	0.2
chr19_21283339	0.13	0.17	0.4	0.18	0.21	0.17	0.22	0.19	0.14
chr19_21283358	0.13	0.23	0.34	0.49	0.33	0.48	0.29	0.1	0.31
chr19_21283402	0.23	0.41	0.32	0.43	0.2	0.5	0.48	0.1	0.365
chr19_21283416	0.161	0.188	0.227	0.308	0.304	0.15	0.55	0.081	0.538
chr19_21283459	0.16	0.31	0.29	0.28	0.43	0.38	0.24	0.27	0.25
chr19_21283461	0.42	0.31	0.57	0.5	0.32	0.79	0.46	0.11	0.54
chr19_21283471	0.56	0.4	0.4	0.56	0.69	0.77	0.53	0.4	1
chr19_21283497	0.542	0.333	0.5	0.5	0.435	0.727	0.667	0.364	0.5
chr19_21284038	0.21	0.15	0.13	0.17	0.1	0.12	0.11	0.11	0.06
chr19_21284041	0.21	0.125	0.13	0.18	0.09	0.13	0.12	0.11	0.08
chr19_21284043	0.2	0.14	0.12	0.19	0.125	0.13	0.12	0.09	0.08
chr19_21285184	0.63	0.72	0.58	0.71	0.6	0.635	0.63	0.79	0.64
chr19_21285185	0.59	0.64	0.51	0.62	0.52	0.57	0.61	0.71	0.51
chr19_21285479	1	1	1	1	1	1	1	1	1
chr19_21286328	0.097	0.063	0.097	0.156	0.188	0.079	0.111	0.071	0.097
chr19_21286951	0.024	0.011	0.024	0.029	0.022	0.029	0.036	0.024	0.013
chr19_21286989	0.08	0.06	0.07	0.09	0.08	0.13	0.08	0.06	0.08
chr19_21286993	0.034	0.021	0.026	0.036	0.043	0.035	0.054	0.028	0.052
chr19_21287002	0.06	0.09	0.07	0.07	0.07	0.1	0.07	0.06	0.07
chr19_21287013	0.11	0.06	0.09	0.09	0.15	0.18	0.27	0.09	0.12
chr19_21287014	0.06	0.09	0.08	0.06	0.07	0.15	0.08	0.08	0.09
chr19_21287022	0.033	0	0.043	0	0	0.053	0.06	0.023	0.022
chr19_21287028	0.09	0.07	0.14	0.09	0.1	0.14	0.13	0.09	0.14
chr19_21287034	0.039	0.022	0.034	0.087	0.047	0.053	0.025	0.025	0.058
chr19_21287038	0.038	0.056	0.063	0.03	0.043	0.038	0.038	0.034	0.023
chr19_21287054	0.12	0.08	0.2	0.13	0.16	0.18	0.18	0.06	0.17
chr19_21287065	0.17	0.19	0.15	0.12	0.14	0.14	0.17	0.15	0.2
chr19_21287080	0.033	0.047	0.047	0.04	0.042	0.067	0.057	0.047	0.078
chr19_21287084	0.054	0.07	0.12	0.098	0.042	0.0715	0.118	0.033	0.073
chr19_21287087	0.028	0.06	0.056	0.078	0.056	0.089	0.047	0.056	0.044
chr19_21287090	0.18	0.2	0.06	0.26	0.12	0.17	0.16	0.16	0.25
chr19_21287092	0.118	0.087	0.137	0.101	0.07	0.104	0.087	0.048	0.067
chr19_21287093	0.14	0.17	0.13	0.2	0.19	0.17	0.18	0.17	0.14
chr19_21287094	0.15	0.16	0.22	0.32	0.29	0.3	0.22	0.17	0.15
chr19_21287095	0.4	0.49	0.35	0.51	0.25	0.37	0.42	0.33	0.51
chr19_21287096	0.4	0.34	0.53	0.46	0.32	0.21	0.41	0.24	0.51
chr19_21287099	0.086	0.037	0.062	0.03	0.061	0.062	0.062	0.055	0.06
chr19_21287117	0.092	0.09	0.146	0.063	0.097	0.093	0.094	0.085	0.096
chr19_21287162	0.39	0.22	0.32	0.47	0.26	0.38	0.26	0.28	0.45
chr19_21287167	0.087	0.143	0.143	0.075	0.154	0.143	0.2	0.07	0.233
chr19_21287189	0.181	0.094	0.15	0.255	0.186	0.1665	0.152	0.111	0.286
chr19_21287197	0.21	0.13	0.2	0.4	0.14	0.17	0.24	0.1	0.11
chr19_21288345	0.36	0.41	0.44	0.48	0.58	0.435	0.5	0.2	0.43
chr19_21288346	0.27	0.38	0.22	0.35	0.245	0.11	0.2	0.09	0.35
chr19_21290030	0.051	0.048	0.158	0.186	0.0705	0.068	0.073	0.062	0.27
chr19_21290031	0.12	0.26	0.31	0.13	0.16	0.19	0.1	0.11	0.19
chr19_21290041	0.1	0.18	0.19	0.15	0.18	0.27	0.2	0.18	0.15
chr19_21290089	0.35	0.61	0.57	0.61	0.42	0.71	0.66	0.29	0.68
chr19_21290102	0.12	0.11	0.23	0.18	0.11	0.17	0.32	0.08	0.24
chr19_21290153	0.219	0.3	0.292	0.381	0.235	0.292	0.292	0.143	0.375
chr19_21290159	0.96	0.74	0.56	0.71	0.28	0.3	0.67	0.58	0.87
chr19_21290199	0.85	0.59	0.6	0.5	0.33	0.5	0.4	0.35	0.5
chr19_21290830	0.31	0.29	0.54	0.46	0.24	0.2	0.16	0.19	0.29
chr19_21290891	0.22	0.19	0.15	0.16	0.14	0.3	0.3	0.16	0.25
chr19_21291602	0.041	0.071	0.184	0.167	0.037	0.122	0.048	0.187	0.116
chr19_21291610	0.13	0.18	0.13	0.15	0.15	0.15	0.19	0.08	0.2
chr19_21291622	0.215	0.22	0.31	0.22	0.17	0.21	0.11	0.18	0.24
chr19_21291623	0.25	0.2	0.195	0.15	0.12	0.17	0.19	0.2	0.36
chr19_21291668	0.1	0.16	0.1	0.16	0.19	0.2	0.2	0.14	0.11
chr19_21291680	0.905	0.78	0.91	0.91	0.79	0.91	0.88	0.94	0.9
chr19_21291685	0.31	0.3	0.59	0.38	0.33	0.59	0.36	0.33	0.49
chr19_21291699	0.67	0.66	0.82	0.75	0.59	1	0.75	0.71	0.58
chr19_21291702	0.265	0.17	0.39	0.29	0.37	0.24	0.22	0.33	0.2
chr19_21291708	0.13	0.31	0.15	0.15	0.28	0.15	0.15	0.1	0.43
chr19_21291730	0.21	0.12	0.21	0.12	0.1	0.46	0.09	0.1	0.12
chr19_21291733	0.186	0.056	0.219	0.076	0.093	0.417	0.244	0.1	0.143
chr19_21291743	0.15	0.22	0.53	0.25	0.14	0.22	0.31	0.13	0.22
chr19_21291748	0.105	0.057	0.107	0.057	0.114	0.091	0.091	0.085	0.091
chr19_21291753	0.33	0.15	0.41	0.12	0.18	0.265	0.41	0.48	0.2
chr19_21291765	0.33	0.24	0.27	0.22	0.28	0.8	0.33	0.14	0.44
chr19_21292055	0.13	0.12	0.43	0.37	0.26	0.47	0.24	0.23	0.31
chr19_21292092	0.343	0.273	0.261	0.246	0.26	0.5	0.418	0.4	0.439
chr19_21292099	0.43	0.26	0.82	0.32	0.22	0.33	0.35	0.46	0.34
chr19_21292104	0.1	0.11	0.105	0.1	0.1	0.2	0.1	0.12	0.12
chr19_21292117	0.11	0.153	0.13	0.082	0.138	0.407	0.25	0.146	0.13
chr19_21292124	0.09	0.15	0.175	0.19	0.22	0.24	0.27	0.16	0.16
chr19_21292128	0.13	0.11	0.15	0.21	0.06	0.25	0.21	0.29	0.1
chr19_21292139	0.41	0.38	0.71	0.57	0.52	0.11	0.36	0.17	0.41
chr19_21292143	0.14	0.06	0.25	0.28	0.26	0.16	0.33	0.13	0.33
chr19_21292160	0.095	0.219	0.219	0.098	0.077	0.4	0.314	0.22	0.219
chr19_21292164	0.22	0.28	0.37	0.36	0.22	0.44	0.39	0.29	0.61
chr19_21292170	0.84	0.63	0.85	0.91	0.79	0.74	0.97	0.69	0.95
chr19_21292199	0.44	0.55	0.57	0.74	0.5	0.54	0.65	0.58	0.5
chr19_21292205	0.065	0.111	0.267	0.234	0.158	0.16	0.227	0.16	0.16
chr19_21292208	0.065	0.167	0.333	0.05	0.075	0.412	0.125	0.125	0.125
chr19_21292209	0.29	0.23	0.265	0.29	0.26	0.27	0.24	0.14	0.35
chr19_21292210	0.17	0.18	0.21	0.31	0.16	0.21	0.21	0.38	0.32
chr19_21292211	0.86	0.8	0.85	0.78	0.86	0.64	1	0.71	0.71
chr19_21292214	0.5	0.59	0.64	0.78	0.73	0.54	0.54	0.62	0.75
chr19_21292225	0.21	0.1	0.33	0.21	0.29	0.29	0.31	0.16	0.2
chr19_21292227	0.16	0.31	0.26	0.21	0.37	0.47	0.28	0.24	0.23
chr19_21292228	0.81	0.79	0.71	0.94	0.84	0.78	0.9	0.7	0.88
chr19_21292233	0.18	0.34	0.53	0.28	0.23	0.42	0.28	0.12	0.28
chr19_21292286	0.2	0.11	0.19	0.31	0.2	0.45	0.18	0.21	0.14
chr19_21292303	0.157	0.173	0.073	0.143	0.189	0.143	0.091	0.094	0.143
chr19_21297369	0.19	0.33	0.62	0.62	0.8	0.93	0.5	0.75	0.48
chr19_21301430	0.118	0.133	0.141	0.071	0.13	0.172	0.067	0.052	0.124
chr19_21304682	0.28	0.15	0.14	0.24	0.25	0.46	0.15	0.41	0.26
chr19_21304709	0.16	0.11	0.46	0.16	0.18	0.42	0.32	0.11	0.27
chr19_21304712	0.13	0.11	0.2	0.21	0.205	0.54	0.28	0.15	0.52
chr19_21304754	0.15	0.06	0.35	0.14	0.14	0.36	0.32	0.11	0.07
chr19_21304805	0.103	0.114	0.143	0.091	0.143	0.143	0.261	0.162	0.4
chr19_21304871	0.09	0.29	0.29	0.19	0.31	0.29	0.54	0.26	0.32
chr19_21305175	0.091	0.267	0.333	0.333	0.231	0.375	0.267	0.19	0.267
chr19_21306694	0.16	0.27	0.57	0.28	0.3	0.38	0.5	0.13	0.31
chr19_21306750	0.44	0.5	0.62	0.62	0.22	0.35	0.48	0.43	0.23
chr19_21306777	0.32	0.39	0.41	0.35	0.42	0.36	0.33	0.29	0.45
chr19_21306780	0.43	0.52	0.32	0.5	0.19	0.4	0.33	0.33	0.365
chr19_21309245	0.115	0.08	0.13	0.22	0.25	0.09	0.1	0.07	0.13
chr19_21315938	0.25	0.21	0.38	0.36	0.23	0.45	0.15	0.12	0.15
chr19_21315948	0.68	0.55	0.47	0.57	0.565	0.83	0.73	0.56	0.56
chr19_21315958	0.41	0.26	0.21	0.43	0.38	0.55	0.45	0.35	0.11
chr19_21317158	0.188	0.143	0.286	0.263	0.263	0.263	0.368	0.176	0.367
chr19_21317197	0.38	0.46	0.5	0.41	0.36	0.71	0.31	0.41	0.2
chr19_21317212	1	1	1	1	1	1	1	1	1
chr19_21317228	0.17	0.24	0.38	0.46	0.54	0.46	0.38	0.39	0.33
chr19_21319463	0.1	0.14	0.13	0.15	0.08	0.15	0.11	0.12	0.19
chr19_21319514	0.408	0.374	0.306	0.439	0.374	0.456	0.4	0.373	0.435
chr19_21319521	0.052	0.033	0.031	0.055	0.048	0.054	0.038	0.023	0.059
chr19_21319539	0.06	0.06	0.065	0.07	0.12	0.07	0.06	0.065	0.065
chr19_21319543	0.23	0.15	0.26	0.22	0.24	0.25	0.19	0.21	0.21
chr19_21319546	1	1	0.99	1	1	0.99	0.992	1	1
chr19_21319550	0.077	0.024	0.03	0.059	0.03	0.034	0.028	0.014	0.03
chr19_21319551	0.07	0.06	0.07	0.13	0.07	0.14	0.07	0.08	0.06
chr19_21319552	0.3	0.23	0.38	0.3	0.3	0.23	0.3	0.28	0.33
chr19_21319559	0.13	0.16	0.23	0.23	0.15	0.17	0.15	0.18	0.09
chr19_21319588	0.17	0.09	0.1	0.2	0.19	0.23	0.19	0.2	0.17
chr19_21319589	0.18	0.15	0.19	0.24	0.13	0.19	0.2	0.17	0.16
chr19_21319595	1	1	1	1	1	1	1	1	1
chr19_21319629	0.2	0.14	0.23	0.21	0.23	0.31	0.21	0.23	0.26
chr19_21319632	0.3	0.34	0.11	0.12	0.34	0.34	0.34	0.47	0.37
chr19_21321370	0.12	0.59	0.26	0.23	0.41	0.59	0.34	0.31	0.53
chr19_21321466	0.41	0.33	0.36	0.21	0.17	0.67	0.33	0.33	0.2
chr19_21322369	0.143	0.125	0.417	0.227	0.227	0.227	0.424	0.304	0.094
chr19_21322377	0.58	0.4	0.7	0.58	0.39	0.4	0.71	0.59	0.51
chr19_21322387	0.45	0.75	0.42	0.9	0.41	0.88	0.67	0.54	0.76
chr19_21322404	0.29	0.33	0.34	0.5	0.35	0.36	0.24	0.09	0.46
chr19_21322439	0.214	0.5	0.409	0.6	0.5	0.409	0.357	0.3	0.409
chr19_21324160	1	0.606	1	1	1	0.579	0.7	0.628	0.52
chr19_21326728	0.111	0.086	0.068	0.048	0.097	0.0875	0.143	0.089	0.08
chr19_21377173	0.71	0.9	0.6	0.94	0.89	0.86	0.88	0.71	0.86
chr19_21377176	0.69	0.81	0.6	0.93	0.89	0.74	0.83	0.62	0.88
chr19_21377200	0.93	1	0.85	0.94	1	0.96	1	0.89	1
chr19_21398876	0.15	0.07	0.08	0.1	0.15	0.1	0.1	0.1	0.08
chr19_21399434	0.23	0.58	0.5	0.18	0.31	0.47	0.38	0.45	0.26
chr19_21403519	0.17	0.17	0.13	0.1	0.16	0.145	0.1	0.16	0.13
chr19_21406232	0.122	0.081	0.192	0.286	0.188	0.176	0.162	0.148	0.125
chr19_21407454	0.63	0.79	0.58	0.75	1	0.605	0.57	0.44	0.56
chr19_21409614	1	0.533	1	1	1	0.357	1	0.346	0.514
chr19_21409618	0.76	0.85	0.69	0.72	0.52	0.81	0.44	0.59	0.6
chr19_21411817	0.538	0.211	0.429	0.3945	0.409	0.4	0.389	0.125	0.176
chr19_21420543	0.33	0.15	0.42	0.35	0.3	0.34	0.48	0.19	0.8
chr19_21445767	0.82	0.81	0.62	0.58	0.92	0.94	0.82	0.5	1
chr19_21445812	0.8	0.83	0.6	0.75	0.91	0.71	0.83	0.58	1
chr19_21445826	0.77	0.67	0.57	0.55	1	0.5	0.8	0.55	0.78
chr19_21506282	0.4	0.25	0.273	0.542	0.312	0.333	0.393	0.4	0.321
chr19_21506296	0.74	0.79	0.68	0.85	0.7	0.61	0.9	0.5	0.81
chr19_21506302	0.45	0.33	0.29	0.35	0.25	0.44	0.32	0.26	0.62
chr19_21506338	0.42	0.19	0.45	0.47	0.21	0.35	0.6	0.22	0.36
chr19_21506377	0.43	0.25	0.47	0.5	0.44	0.47	0.64	0.36	0.4
chr19_21510089	0.26	0.32	0.33	0.21	0.5	0.21	0.32	0.32	0.53
chr19_21552724	1	1	1	1	1	1	1	1	1
chr19_21968995	0.87	0.7	1	0.94	1	0.83	0.91	0.85	1
chr19_21968998	0.81	0.63	0.67	0.88	0.71	0.75	1	0.72	0.71
chr19_21972913	0.1	0.29	0.21	0.21	0.1	0.33	0.64	0.14	0.19
chr19_21972923	0.17	0.33	0.23	0.31	0.17	0.4	1	0.16	0.19
chr19_21972981	0.08	0.18	0.19	0.26	0.1	0.25	0.39	0.13	0.19
chr19_22179023	0.14	0.13	0.2	0.205	0.31	0.21	0.29	0.13	0.57
chr19_22180646	0.14	0.44	0.36	0.33	0.38	0.27	0.33	0.14	0.3
chr19_22180691	0.23	0.5	0.49	0.44	0.42	0.24	0.34	0.18	0.32
chr19_22180706	0.24	0.43	0.5	0.5	0.4	0.26	0.37	0.22	0.33
chr19_22180787	0.29	0.26	0.59	0.22	0.33	0.21	0.11	0.17	0.14
chr19_22181024	0.33	0.3	0.19	0.3	0.285	0.27	0.26	0.56	0.26
chr19_23257036	0.3	0.286	0.5	0.417	0.176	0.3	0.3	0.348	0.2
chr19_23257838	0.24	0.53	0.55	0.29	0.3	0.43	0.41	0.39	0.42
